Date,Predicted Solar Production (GWh)
2024-07-31,99.86761104154805
2024-08-31,103.80023633257127
2024-09-30,102.75721356180377
2024-10-31,98.44717417214807
2024-11-30,83.68772587673355
2024-12-31,88.57735613663712
2025-01-31,82.88718414322179
2025-02-28,101.73756550763694
2025-03-31,118.2596751013132
2025-04-30,129.114083488911
2025-05-31,133.60522577543378
2025-06-30,125.96916326478794
2025-07-31,111.65261121466978
2025-08-31,115.54772232642414
2025-09-30,115.01857894655312
2025-10-31,110.57852825299082
2025-11-30,96.95663265601421
2025-12-31,100.38430471276803
2026-01-31,96.26057167302764
2026-02-28,112.79762952669836
2026-03-31,128.99441614667046
2026-04-30,140.64921386489394
2026-05-31,144.38503115417942
2026-06-30,136.71892265894002
2026-07-31,122.73449057471385
2026-08-31,126.62589085444367
2026-09-30,126.1475795035055
2026-10-31,121.69466832495085
2026-11-30,108.18529740189649
2026-12-31,111.46835517372925
2027-01-31,107.49957146748032
2027-02-28,123.80779950605013
2027-03-31,139.97240576059775
2027-04-30,151.7063765567264
2027-05-31,155.36747845118867
2027-06-30,147.69839786101002
2027-07-31,133.74681848849218
2027-08-31,137.6378516993697
2027-09-30,137.16456856161827
2027-10-31,132.71038524694032
2027-11-30,119.21214506293235
2027-12-31,122.48089784891866
2028-01-31,118.5274414529954
2028-02-29,134.81303405642782
2028-03-31,150.9744570869103
2028-04-30,162.71625954198933
2028-05-31,166.3699707235214
2028-06-30,158.70059613903877
2028-07-31,144.75226649787533
2028-08-31,148.64326339895996
2028-09-30,148.170477643044
2028-10-31,143.71616849094102
2028-11-30,130.21902933968786
2028-12-31,133.48636710211565
2029-01-31,129.53442685625595
2029-02-28,145.8177804030181
2029-03-31,161.9788885546819
2029-04-30,173.72146570342625
2029-05-31,177.37444580888294
2029-06-30,169.70504214301073
2029-07-31,155.75703395944782
2029-08-31,159.64802726883283
2029-09-30,159.17529071303647
2029-10-31,154.72096911332096
2029-11-30,141.22393887425443
2029-12-31,144.49113666508816
2030-01-31,140.53934639407507
2030-02-28,156.8224784573649
2030-03-31,172.9835554617803
2030-04-30,184.72620924183343
2030-05-31,188.37911703055516
2030-06-30,180.70971048800402
2030-07-31,166.76173410245073
2030-08-31,170.65272705655124
2030-09-30,170.17999536754255
2030-10-31,165.7256725365315
2030-11-30,152.2286530708632
2030-12-31,155.49583701595776
2031-01-31,151.54406158018767
2031-02-28,167.82717173472938
2031-03-31,183.9882456581149
2031-04-30,195.73090701839965
2031-05-31,199.38380765367958
2031-06-30,191.7144008265726
2031-07-31,177.76642758642137
2031-08-31,181.6574205053778
2031-09-30,181.184689297783
2031-10-31,176.7303663449744
2031-11-30,163.23334794499135
2031-12-31,166.5005305204902
2032-01-31,162.54875655219575
2032-02-29,178.83186453956338
2032-03-31,194.9929381581789
2032-04-30,206.73560026828665
2032-05-31,210.38850019596097
2032-06-30,202.71909334070614
2032-07-31,188.7711204116925
2032-08-31,192.6621133271725
2032-09-30,192.18938216719832
2032-10-31,187.73505920234174
2032-11-30,174.23804090777435
2032-12-31,177.50522334779524
2033-01-31,173.55344952466086
2033-02-28,189.8365572976555
2033-03-31,205.99763088612374
2033-04-30,217.7402930704026
2033-05-31,221.39319292808182
2033-06-30,213.72378607004268
2033-07-31,199.7758131718062
2033-08-31,203.66680608694233
2033-09-30,203.1940749316787
2033-10-31,198.73975196563035
2033-11-30,185.24273368149048
2033-12-31,188.50991610811016
2034-01-31,184.55814229933475
2034-02-28,200.84125005112404
2034-03-31,217.0023236366101
2034-04-30,228.74498582822582
2034-05-31,232.39788567898125
2034-06-30,224.7284788206667
2034-07-31,210.78050592547464
2034-08-31,214.67149884057676
2034-09-30,214.19876768577907
2034-10-31,209.74444471961283
2034-11-30,196.24742643650444
2034-12-31,199.51460886179848
2035-01-31,195.56283505444344
2035-02-28,211.8459428041351
2035-03-31,228.00701638932622
2035-04-30,239.7496785816677
2035-05-31,243.40257843173825
2035-06-30,235.73317157339645
2035-07-31,221.78519867850554
2035-08-31,225.6761915936043
2035-09-30,225.20346043885272
2035-10-31,220.74913747267482
2035-11-30,207.25211918966846
2035-12-31,210.51930161483136
2036-01-31,206.5675278076168
2036-02-29,222.85063555710101
2036-03-31,239.0117091422629
2036-04-30,250.7543713346762
2036-05-31,254.407271184679
2036-06-30,246.7378643263345
2036-07-31,232.78989143147336
2036-08-31,236.6808843465718
2036-09-30,236.20815319182475
2036-10-31,231.7538302256457
2036-11-30,218.25681194264945
2036-12-31,221.5239943677994
2037-01-31,217.57222056059874
2037-02-28,233.8553283100624
2037-03-31,250.01640189522143
2037-04-30,261.75906408764183
2037-05-31,265.41196393763795
2037-06-30,257.7425570792932
2037-07-31,243.79458418443502
2037-08-31,247.68557709953342
2037-09-30,247.21284594478684
2037-10-31,242.7585229786077
2037-11-30,229.26150469561242
2037-12-31,232.52868712076108
2038-01-31,228.5769133135618
2038-02-28,244.86002106302345
2038-03-31,261.0210946481822
2038-04-30,272.76375684060326
2038-05-31,276.4166566905987
2038-06-30,268.74724983225394
2038-07-31,254.79927693739606
2038-08-31,258.69026985249445
2038-09-30,258.21753869774795
2038-10-31,253.76321573156875
2038-11-30,240.26619744857354
2038-12-31,243.5333798737221
2039-01-31,239.58160606652297
2039-02-28,255.8647138159844
2039-03-31,272.0257874011432
2039-04-30,283.76844959356424
2039-05-31,287.4213494435597
2039-06-30,279.7519425852149
